latitude,longitude,time,speed,acceleration
35.134145,139.62155333333334,2023-07-15 18:40:31,0,0.0
35.134145,139.62155333333334,2023-07-15 18:40:41,0,0.0
35.134145,139.62155333333334,2023-07-15 18:40:51,0,0.0
35.134145,139.62155333333334,2023-07-15 18:41:01,0,0.0
35.134145,139.62155333333334,2023-07-15 18:41:11,0,0.0
35.134145,139.62155333333334,2023-07-15 18:41:21,0,0.0
35.134145,139.62155333333334,2023-07-15 18:41:31,0,0.0
35.13417833333333,139.62151,2023-07-15 18:41:41,5,0.0
35.13459666666667,139.62169,2023-07-15 18:41:51,18,0.0
35.134815,139.62183000000002,2023-07-15 18:42:01,4,-2.0
35.13483,139.62185666666667,2023-07-15 18:42:11,0,0.0
35.13483,139.62185666666667,2023-07-15 18:42:21,0,0.0
35.13488,139.62192666666667,2023-07-15 18:42:31,6,0.0
35.134926666666665,139.6219716666667,2023-07-15 18:42:41,0,0.0
35.134926666666665,139.6219716666667,2023-07-15 18:42:51,0,0.0
35.134926666666665,139.6219716666667,2023-07-15 18:43:01,0,0.0
35.134926666666665,139.6219716666667,2023-07-15 18:43:11,0,0.0
35.13494,139.621995,2023-07-15 18:43:21,4,3.0
35.135236666666664,139.62202833333333,2023-07-15 18:43:31,23,1.0
35.13563833333333,139.62150166666666,2023-07-15 18:43:41,17,-11.0
35.135765473769894,139.6204489595735,2023-07-15 18:43:51,41,2.0
35.13572908563576,139.61930141390528,2023-07-15 18:44:01,36,1.0
35.135533333333335,139.61831500000002,2023-07-15 18:44:11,30,-1.0
35.135461666666664,139.61802,2023-07-15 18:44:21,0,0.0
35.135461666666664,139.61802,2023-07-15 18:44:31,0,0.0
35.135398333333335,139.61776833333334,2023-07-15 18:44:41,13,-1.0
35.13534166666667,139.61755,2023-07-15 18:44:52,0,-1.5
35.13533666666666,139.61758166666664,2023-07-15 18:45:01,2,0.0
35.135313333333336,139.61759833333332,2023-07-15 18:45:11,0,0.0
35.13523413105016,139.6179099524949,2023-07-15 18:45:21,22,-64.0
35.13565333333333,139.61871333333332,2023-07-15 18:45:31,28,-33.0
35.135830000000006,139.61970666666664,2023-07-15 18:45:41,27,-9.0
35.13577166666666,139.62066333333334,2023-07-15 18:45:52,14,-7.5
35.135691666666666,139.62142666666665,2023-07-15 18:46:01,26,-2.0
35.13533666666666,139.62201666666667,2023-07-15 18:46:11,30,8.0
35.134663333333336,139.6222833333333,2023-07-15 18:46:22,12,-1.0
35.13397333333333,139.62201166666668,2023-07-15 18:46:31,28,-1.0
35.133858333333336,139.621255,2023-07-15 18:46:41,28,13.0
35.134474999999995,139.621195,2023-07-15 18:46:52,25,3.0
35.13532,139.62153333333333,2023-07-15 18:47:02,41,21.0
35.136378333333326,139.62198833333332,2023-07-15 18:47:12,49,4.0
35.137445,139.62245333333334,2023-07-15 18:47:22,45,3.0
35.13850333333333,139.622905,2023-07-15 18:47:32,43,-3.0
35.13957666666667,139.623365,2023-07-15 18:47:42,45,-3.0
35.14064833333333,139.62381666666667,2023-07-15 18:47:52,43,-1.0
35.14157,139.62430833333335,2023-07-15 18:48:02,34,-2.0
35.14227333333333,139.624815,2023-07-15 18:48:12,35,4.0
35.142999999999994,139.62551166666665,2023-07-15 18:48:22,41,-1.0
35.14381,139.62633,2023-07-15 18:48:32,43,0.0
35.14455833333333,139.62705833333334,2023-07-15 18:48:42,33,-2.0
35.145059999999994,139.62754833333332,2023-07-15 18:48:52,12,-8.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:12,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:22,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:32,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:42,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:49:52,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:12,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:22,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:32,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:42,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:50:52,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:12,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:22,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:32,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:42,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:51:52,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:12,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:22,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:32,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:42,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:52:52,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:12,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:22,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:32,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:42,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:53:52,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:54:02,0,0.0
35.145100000000006,139.62758833333334,2023-07-15 18:54:12,0,0.0
35.145485,139.62804333333332,2023-07-15 18:54:22,37,6.0
35.14606166666667,139.62876999999997,2023-07-15 18:54:32,34,-1.0
35.14691333333334,139.62912999999998,2023-07-15 18:54:42,30,-3.0
35.14712,139.62912666666668,2023-07-15 18:54:52,0,0.0
35.14715666666667,139.62912333333335,2023-07-15 18:55:02,10,7.0
35.14786166666667,139.62907833333333,2023-07-15 18:55:12,34,-1.0
35.148885,139.6289766666667,2023-07-15 18:55:22,43,1.0
35.149696666666664,139.62853833333332,2023-07-15 18:55:32,25,-4.0
35.149811666666665,139.62842833333335,2023-07-15 18:55:42,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:55:52,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:56:02,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:56:12,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:56:22,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:56:32,0,0.0
35.149811666666665,139.62842833333335,2023-07-15 18:56:42,0,0.0
35.149840000000005,139.6284016666667,2023-07-15 18:56:52,9,5.0
35.15016666666667,139.62815166666667,2023-07-15 18:57:02,33,20.0
35.150774999999996,139.62851333333336,2023-07-15 18:57:12,36,-1.0
35.151518333333335,139.629305,2023-07-15 18:57:22,41,1.0
35.15238333333333,139.63004666666666,2023-07-15 18:57:32,43,5.0
35.15318166666667,139.630585,2023-07-15 18:57:42,29,0.0
35.15357,139.6309083333333,2023-07-15 18:57:52,20,4.0
35.15394166666667,139.63125666666667,2023-07-15 18:58:02,27,6.0
35.154538333333335,139.63196166666665,2023-07-15 18:58:12,35,0.0
35.155121666666666,139.632835,2023-07-15 18:58:22,38,-1.0
35.155655,139.63376333333332,2023-07-15 18:58:32,40,2.0
35.156108333333336,139.63478166666667,2023-07-15 18:58:42,36,-5.0
35.156573333333334,139.63583,2023-07-15 18:58:52,39,0.0
35.15694666666667,139.63666833333332,2023-07-15 18:59:02,24,1.0
35.15714166666667,139.63710833333334,2023-07-15 18:59:12,6,0.0
35.15716,139.63714333333334,2023-07-15 18:59:22,0,0.0
35.157331666666664,139.63744,2023-07-15 18:59:32,13,-2.0
35.157685,139.63789999999997,2023-07-15 18:59:42,25,1.0
35.15822333333333,139.63834,2023-07-15 18:59:52,29,1.0
35.15900333333333,139.63877166666668,2023-07-15 19:00:02,35,-1.0
35.15977,139.63931333333332,2023-07-15 19:00:12,36,1.0
35.160435,139.63996333333333,2023-07-15 19:00:22,34,1.0
35.16108166666667,139.64065666666664,2023-07-15 19:00:32,36,0.0
35.16180666666666,139.64119666666664,2023-07-15 19:00:42,32,2.0
35.16267666666667,139.64107,2023-07-15 19:00:52,36,-1.0
35.163468333333334,139.64174833333334,2023-07-15 19:01:02,44,3.0
35.164355,139.64246333333332,2023-07-15 19:01:12,42,0.0
35.165308333333336,139.64291,2023-07-15 19:01:22,40,0.0
35.1662,139.64253666666667,2023-07-15 19:01:32,37,4.0
35.16696666666667,139.64158,2023-07-15 19:01:42,42,-2.0
35.167225,139.6405816666667,2023-07-15 19:01:52,15,0.0
35.16724,139.640535,2023-07-15 19:02:02,0,0.0
35.16742833333333,139.64012499999998,2023-07-15 19:02:12,21,1.0
35.16794,139.63972166666665,2023-07-15 19:02:22,24,-1.0
35.16865000000001,139.63943,2023-07-15 19:02:32,28,0.0
